"","Chiroxiphia caudata","Coereba flaveola","Conirostrum speciosum","Cyanocorax cristatellus","Cyclarhis gujanensis","Dacnis cayana","Elaenia flavogaster","Habia rubica","Manacus manacus","Myiodynastes maculatus","Myiophobus fasciatus","Penelope superciliaris","Pipraeidea melanonota","Pitangus sulphuratus","Ramphastos toco","Ramphocelus carbo","Saltator similis","Sirystes sibilator","Tachyphonus coronatus","Tangara cayana","Thlypopsis sordida","Thraupis sayaca","Tityra cayana","Trichothraupis melanops","Turdus amaurochalinus","Turdus rufiventris","Tyrannus melancholicus","Tyrannus savana","Vireo olivaceus"
"Miconia M_SD_012NA.unidsp.1",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"Myrcia hebepetala",6,0,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ocotea corymbosa",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Ocotea M_SD_012NA.unidsp.1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ocotea macropoda",4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Palicourea M_SD_012NA.unidsp.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paullinia M_SD_012NA.unidsp.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Paullinia rhomboidea",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pera glabrata",1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,2,1,7,0,0,1,0,1,0,0,0,0,3
"Pereskia aculeata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Persea major",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Piper M_SD_012NA.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Protium heptaphyllum",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhipsalis M_SD_012NA.unidsp.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rubus M_SD_012NA.unidsp.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Trema micrantha",5,0,0,0,0,6,2,1,5,1,0,0,0,0,0,1,12,0,10,2,2,3,0,12,0,0,1,2,7
"Trichilia claussenii",1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,2,0,0,0,0,7
"Urera baccifera",0,1,0,0,0,0,0,6,4,0,0,0,1,0,0,2,0,0,12,0,0,0,0,7,0,0,0,0,0
"Xylopia brasiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Zanthoxylum fagara",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9
