"","Arizelocichla fusciceps","Arizelocichla milanjensis","Bycanistes brevis","Bycanistes bucinator","Cercopithecus mitis","Cinnyricinclus leucogaster","Columba arquatrix","Columba larvata","Onychognathus walleri","Paraxerus lucifer","Pogoniulus leucomystax","Pycnonotus barbatus","Sylvia borin","Tauraco livingstonii","Tauraco schalowi","Treron calvus","Zosterops senegalensis"
"Erythrococca trichogyne",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euclea divinorum",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"Eugenia capensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ficus exasperata",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Ficus ingens",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"Ficus lutea",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ficus polita",0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"Ficus sansibarica",0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"Ficus scassellatii",0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"Ficus sur",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ficus sycomorus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ficus thonningii",1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1
"Ficus vallis-choudae",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Galiniera saxifraga",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Garcinia kingaensis",0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
"Gymnosporia heterophylla",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halleria lucida",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Harungana madagascariensis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Heinsenia diervilleoides",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ilex mitis",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"Jasminum abyssinicum",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"Juniperus procera",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keetia gueinzii",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Kiggelaria africana",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Landolphia buchananii",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Lepidotrichilia volkensii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macaranga capensis",1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1
"Macaranga kilimandscharica",1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
"Maesa lanceolata",1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1
"Maytenus acuminata",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Morella salicifolia",1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1
"Myrianthus holstii",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Neoboutonia macrocalyx",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Ochna holstii",1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
"Ochna stolzii",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ocotea usambarensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Olea capensis",0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"Olea europaea subsp. cuspidata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Olinia rochetiana",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Osyris lanceolata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Parinari curatellifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Parinari excelsa",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Phragmanthera usuiensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Podocarpus latifolius",1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"Polyscias fulva",1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"Pouteria adolfi-friedericii",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Prunus africana",1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"Psychotria ealaensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Psychotria mahonii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psychotria zombamontana",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Rapanea melanophloeos",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"Rauvolfia caffra",0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
"Rhamnus prinoides",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rhoicissus tridentata",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rhus longipes",1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
"Rotheca quadrangulata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rourea thomsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rubus ellipticus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutidea fuscescens",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutidea orientalis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rytigynia adenodonta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera abyssinica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schefflera umbellifera",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Shirakiopsis elliptica",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Solanum torvum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stephania abyssinica",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium cordatum",1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
"Syzygium guineense",1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0
"Tapinanthus bipartitus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trema orientalis",0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"Tricalysia acocantheroides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tricalysia verdcourtiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichilia dregeana",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Uapaca kirkiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Uapaca nitida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Uapaca sansibarica",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Urera hypselodendron",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Vepris stolzii",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Viscum nervosum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Viscum shirense",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"Xymalos monospora",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
