"","Artibeus cinereus","Artibeus fimbriatus","Artibeus lituratus","Artibeus obscurus","Artibeus planirostris","Carollia perspicillata","Chiroxiphia pareola","Dysithamnus mentalis","Euphonia violacea","Glossophaga soricina","Manacus manacus","Phyllostomus elongatus","Pipra rubrocapilla","Platyrrhinus lineatus","Rhinophylla pumilio","Saltator maximus","Tangara cayana","Trachops cirrhosus","Trinycteris nicefori","Turdus albicollis"
"Unidentified SARMwhole.unidsp.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Unidentified SARMwhole.unidsp.21",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.24",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.25",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.36",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.39",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.42",0,0,0,0,0,11,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Unidentified SARMwhole.unidsp.44",0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Unidentified SARMwhole.unidsp.46",0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Unidentified SARMwhole.unidsp.47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Unidentified SARMwhole.unidsp.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.52",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.53",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.55",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.58",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Unidentified SARMwhole.unidsp.6",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.64",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.66",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified SARMwhole.unidsp.67",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vismia guianensis",0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Vismia SARMwhole.unidsp.501",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
