"","Alces alces","Bison bonasus","Capreolus capreolus","Cervus elaphus","Sus scrofa"
"Dactylis glomerata",0,2,3,17,0
"Deschampsia cespitosa",0,8,17,21,4
"Digitaria ischaemum",1,0,0,0,0
"Echinochloa crus-galli",0,2,0,0,0
"Epilobium ciliatum",0,2,3,3,0
"Epilobium hirsutum",0,0,1,3,0
"Epilobium Jaroszewicz2013.unidsp.204",0,1,3,0,0
"Epilobium montanum",0,3,0,4,0
"Epilobium obscurum",0,0,0,6,0
"Epilobium palustre",0,1,2,1,0
"Epilobium parviflorum",0,0,0,2,0
"Epilobium roseum",0,1,0,1,0
"Erigeron annuus",0,0,0,1,0
"Erigeron canadensis",1,0,6,3,0
"Festuca altissima",0,0,1,2,0
"Festuca gigantea",0,3,0,5,0
"Festuca pratensis",0,1,0,2,0
"Festuca rubra",0,17,0,1,0
"Ficaria verna",0,0,0,1,0
"Fragaria vesca",0,0,0,1,0
"Frangula alnus",3,0,0,0,0
"Gagea lutea",0,5,0,0,0
"Galium aparine",0,0,0,2,1
"Galium mollugo",0,0,0,1,0
"Galium palustre",0,0,1,1,1
"Geranium robertianum",0,5,0,2,1
"Geum urbanum",0,1,0,0,0
"Glyceria fluitans",0,0,3,4,0
"Glyceria lithuanica",0,0,0,10,0
"Gnaphalium sylvaticum",0,0,0,2,0
"Gnaphalium uliginosum",0,0,1,2,0
"Hieracium laevigatum",0,0,0,1,0
"Holcus lanatus",0,3,0,17,0
"Holcus mollis",0,2,0,2,0
"Hypericum perforatum",0,3,0,8,0
"Impatiens noli-tangere",0,0,0,1,0
"Jasione montana",2,0,0,0,0
"Juncus articulatus",0,0,0,1,0
"Juncus bufonius",1,13,1,0,1
"Juncus effusus",2,503,30,144,42
"Juncus Jaroszewicz2013.unidsp.323",0,1,0,0,0
"Juncus tenuis",0,3,2,5,0
"Lamium galeobdolon",0,1,0,0,0
"Lamium maculatum",0,2,0,0,0
"Lapsana communis",0,2,0,1,0
"Lathyrus pratensis",0,2,0,1,0
"Lotus corniculatus",0,0,6,11,0
"Luzula campestris",0,9,0,0,0
"Luzula multiflora",0,1,0,0,0
"Lycopus europaeus",1,5,3,58,1
"Lysimachia vulgaris",0,0,0,2,0
"Lythrum salicaria",19,6,674,174,0
"Malus domestica",14,1,9,14,0
"Matricaria chamomilla",0,0,0,11,0
"Medicago lupulina",0,12,0,1,0
"Melica nutans",0,1,0,2,0
"Mentha aquatica",0,0,0,4,0
"Mentha arvensis",0,0,0,9,0
"Milium effusum",0,19,1,10,0
"Moehringia trinervia",0,1,2,7,0
"Molinia caerulea",20,0,0,4,0
"Myosotis arvensis",0,0,0,1,0
"Oxalis acetosella",0,2,1,0,1
"Oxalis dillenii",0,1,0,0,0
"Papaver argemone",0,0,1,0,0
"Papaver rhoeas",0,0,0,3,0
"Persicaria hydropiper",0,5,0,1,1
"Persicaria lapathifolia",0,4,0,0,0
"Persicaria maculosa",0,4,0,16,0
"Persicaria minor",0,5,0,3,0
"Persicaria mitis",0,1,0,77,0
"Phleum pratense",3,2,0,3,1
"Pimpinella saxifraga",0,0,0,1,0
"Plantago lanceolata",0,10,0,1,0
"Plantago major",0,70,5,20,25
"Poa angustifolia",0,14,1,6,0
"Poa annua",0,7,0,13,2
"Poa chaixii",0,5,0,0,0
"Poa humilis",0,55,1,16,0
"Poa nemoralis",0,6,0,0,0
"Poa palustris",0,2,0,1,0
"Poa pratensis",0,76,1,15,0
"Poa trivialis",0,5,0,1,1
"Polygonum aviculare",0,2,0,0,0
"Potentilla norvegica",0,1,0,7,0
"Potentilla reptans",0,2,0,0,0
"Prunella vulgaris",0,0,1,2,0
"Prunus Jaroszewicz2013.unidsp.722",1,0,0,2,0
"Ranunculus acris",0,7,0,0,0
"Ranunculus lanuginosus",0,7,0,48,0
"Ranunculus repens",0,46,0,1,2
"Rorippa palustris",0,0,1,2,4
"Rubus idaeus",3,132,4,85,3
"Rumex acetosa",0,2,1,2,0
"Rumex acetosella",2,11,0,11,0
"Rumex crispus",0,0,1,0,0
"Rumex obtusifolius",0,4,0,2,2
"Rumex sanguineus",0,0,0,1,0
"Sagina procumbens",0,0,0,1,0
"Salix Jaroszewicz2013.unidsp.226",0,0,0,0,2
"Sambucus nigra",0,0,11,2,0
"Scirpus sylvaticus",0,1,0,1,0
"Scrophularia nodosa",0,9,0,9,0
"Silene flos-cuculi",0,0,1,2,0
"Silene latifolia",0,2,1,2,0
"Sonchus arvensis",0,0,0,1,0
"Spergula arvensis",0,1,0,2,0
"Stachys sylvatica",0,35,2,6,0
"Stellaria graminea",0,5,1,2,0
"Stellaria media",1,11,0,39,0
"Stellaria nemorum",0,2,0,32,0
"Stellaria uliginosa",0,1,0,0,0
"Symphoricarpos albus",0,0,0,1,0
"Tanacetum vulgare",0,0,1,0,0
"Taraxacum campylodes",0,0,0,1,0
"Tilia cordata",0,0,0,1,0
"Trifolium alpestre",0,0,1,0,0
"Trifolium arvense",0,0,4,0,0
"Trifolium campestre",0,0,0,3,0
"Trifolium dubium",0,4,0,0,0
"Trifolium hybridum",0,25,0,0,0
"Trifolium incarnatum",0,32,0,0,0
"Trifolium montanum",0,2,0,1,0
"Trifolium pratense",0,42,3,4,0
"Trifolium repens",0,49,13,114,0
"Tripleurospermum maritimum",0,0,0,14,0
"Undetermined Dicotyledones Dicotyledones",0,59,0,10,0
"Undetermined Graminoids Graminoids",0,43,0,4,1
"Urtica dioica",14,2429,699,6037,114
"Veronica beccabunga",0,1,0,1,0
"Veronica chamaedrys",1,61,19,32,0
"Veronica longifolia",0,21,0,0,0
"Veronica officinalis",0,89,21,69,0
"Veronica scutellata",0,0,0,0,1
"Veronica serpyllifolia",0,9,0,0,0
"Vicia cracca",0,0,0,1,0
"Vicia sepium",0,1,0,0,0
"Viola palustris",0,0,0,1,0
"Viola riviniana",0,8,0,1,0
