"","Aegithalos concinnus","Alcippe brunnea","Alcippe morrisonia","Bambusicola thoracicus","Columba pulchricollis","Dendrocitta formosae","Erpornis zantholeuca","Garrulax poecilorhynchus","Garrulus glandarius","Heterophasia auricularis","Hypsipetes leucocephalus","Liocichla steerii","Lonchura striata","Lophura swinhoii","Megalaima oorti","Oriolus traillii","Pomatorhinus musicus","Sittiparus castaneoventris","Spizixos semitorques","Stachyridopsis ruficeps","Turdus chrysolaus","Turdus obscurus","Turdus pallidus","Urocissa caerulea","Yuhina brunneiceps"
"Pothos chinensis",0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus campanulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Psychotria serpens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rhus succedanea",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus Chen1999.unidsp.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus rosifolius",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sambucus javanica",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Schefflera arboricola",0,0,6,0,0,0,0,0,0,6,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Schefflera heptaphylla",0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,1,0,0
"Symplocos cochinchinensis",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Symplocos glauca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Triadica cochinchinensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
